データコード,CO'TK99F0000206HCQ00000,CO'TK99F2011206HCQ00000,CO'TK99F2019206HCQ00000,CO'TK99F2012206HCQ00000,CO'TK99F2081206HCQ00000
系列名称,"物価全般の見通し/５年後/企業の物価見通しの平均/全規模/全産業","物価全般の見通し/５年後/企業の物価見通しの平均/全規模/_建設","物価全般の見通し/５年後/企業の物価見通しの平均/全規模/_不動産・物品賃貸","物価全般の見通し/５年後/企業の物価見通しの平均/全規模/__不動産","物価全般の見通し/５年後/企業の物価見通しの平均/全規模/_対事業所サービス"
2019/03,1.1,1.3,1,0.9,1.3
2019/06,1.1,1.2,1,0.9,1.2
2019/09,1.1,1.1,0.9,0.9,1.3
2019/12,1.1,1.1,0.9,0.9,1.2
2020/03,1,1,0.8,0.7,1.1
2020/06,0.9,1,0.7,0.5,1
2020/09,0.8,1,0.7,0.6,0.8
2020/12,0.9,1,0.8,0.7,1
2021/03,1,1,0.8,0.7,1
2021/06,1.1,1.1,0.9,0.9,1
2021/09,1.1,1.2,1,0.9,1.1
2021/12,1.3,1.5,1.1,1.1,1.3
2022/03,1.6,1.8,1.4,1.5,1.6
2022/06,1.9,2,1.6,1.6,1.8
2022/09,2,2.2,1.8,1.8,1.9
2022/12,2,2.2,1.9,2,1.8
2023/03,2.1,2.3,1.9,1.9,2.1
2023/06,2.1,2.2,2.2,2.1,2
2023/09,2.1,2.2,2,2,2.1
2023/12,2.1,2.2,2,1.9,2.3
2024/03,2.1,2.3,2.1,2,2.1
2024/06,2.2,2.3,2.2,2.1,2.2
2024/09,,,,,
2024/12,,,,,
